"Number","Name","Nickname","Correspondence language","Address","Address addon","ZIP / Postal code","City","State","Country","Phone","Category","Currency","Payment method","Comment for student record","Tax number","Web","Groups","Active","First name","Surname","E-mail","Commission category","Terms of payments","Cancellation category","Created by","Created","Updated by","Updated on"
"","AGENDA TRAVEL LLC","Agenda Travel (Zola)","English","Orchlon 53-66, Bayangol  district","","","Ulaanbaatar","","Mongolia","","Travel agent","","Net prior to arrival","","","","","Yes","Zulaa","Turmunkh","agendatravelllc@gmail.com","20% All Courses","","","Team, ULearn","15/11/2018","","10/05/2022"
"","Aguia Intercambios","Aguia Intercambios","English","Rua Emiliano Perneta,","390,","4 Andar, conj. 405,","CEP 80420-080,","Curitiba, Parana, Brasil","Brazil","+55 (41) 3091.9538","Travel agent","","Net prior to arrival","","","www.aguiaoperadora.com.br","7. Inactive","Yes","Evelise","Hubner","contato@aguiaintercambios.com.br","25% All Courses","","","Team, Partners","23/08/2016","","10/05/2022"
"","Aishen Educational Consulting Ltd","Aishen","English","No. 306, Dacuo Village","Chengtou Town","","Fuging City","Fujian Province","China",+8618654957682,"Travel agent","€","Net prior to arrival","","","https://aishenedu.com/","New agents 2020","Yes","Wenzhuang","Chen","info@aishenedu.com","22% All Courses","","","Team, Partners","02/04/2024","","02/04/2024"
"","Al Centro del Sistema","ACDS Viaggi","English","Via Geromini 4","",26100,"Cremona","","Italy","+39 0372 458030","Travel agent","€","Gross prior to arrival","","CF/PI 01595710193 codice sdi: M5UXCR1","www.acds.it","2. Active Engaged","Yes","Simonazzi","Amilcare","acds.viaggi@gmail.com","10% All courses","Partner Pay Terms - Course Only (EU)","ULearn Cancellation Policy 2018","Gill, Paul","29/06/2020","","10/05/2022"
"","Alessandra Milan Organisation","Alessandra Milan Organisation","English","","","","","","Italy","","Individual","","Net prior to arrival","","","","7. Inactive","Yes","Alessandra","Milan","alsatian70@yahoo.it","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Alexander Y. PROZOROV","PROZOROV","English","","","","","","Russia",+79037708123,"Individual","€","Net prior to arrival","","","","6. Inactive Propect","Yes","Alexander","Prozorov","a.prozorov@gmail.com","25% All Courses","","","Team, Partners","23/05/2017","","10/05/2022"
"","Alfredo Nadurille","Alfredo Nadurille","English","","","","","","Mexico","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Almoagly Translation & Consultations Office","Almoagly Translation & Consultations Office","English","Yanbu Albahr","41000 King Abdulaziz St.","Hijji Trade Center","P.O. Box 851","Kingdom of Saudi Arabia","Saudi Arabia","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Balula","Sallam","almoagly@gmail.com","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Alsarh travel & tourism","Alsarh travel & tourism","English","intersection of King Abdullah Rd with Altakhsussy str","P.O.Box 2847","12343-8074","Riyadh,","","Saudi Arabia",+966114704840,"Travel agent","","Net prior to arrival","","","www.search4course.com","","Yes","Fadi","Yousef Kalbuneh","fadi@alsarh.com.sa","25% All Courses","","","Team, ULearn","07/12/2018","","10/05/2022"
"","Always Idiomas","Always","English","Always Languages Limited","Apt3, 72A Blessington Street","D07 H292","Dublin","Dublin","Ireland","+353 873 39 39 37","Travel agent","€","Net prior to arrival","","","www.always-idiomas.com","New agents 2020","Yes","Cristina","Hurtado","cristinahurtado@always-idiomas.com","20% All Courses","","","Team, ULearn","18/07/2022","","21/07/2022"
"","Ambes Travel","Ambes Travel","English","SARL, 36 Av. Lalla Yacout,","5eme Etage,","Appt. D,","RC No 242773","","Morocco",0522220770,"Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Yususf","Heymad","ambestravel@yahoo.com","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","AMD Group","AMD","English","Kemalpasa Mah. Aga Yokusu Sk. No: 19 Iç Kapi No: 304","Fatih","","Istanbul","","Turkey",+905347126764,"Travel agent","€","Net prior to arrival","","","https://amdgroup.info/","New agents 2020","Yes","Nicolas","Vallejos","customerservice@amdgroup.info","20% All Courses","","","Team, Partners","28/04/2023","","28/04/2023"
"","ands inc","ands inc","English","The tower Osaka 1-1-48-3710 Fukushima,","","553-0003","Fukushima-ku, Osaka-shi","Osaka","Japan",+81663443017,"Travel agent","€","Net prior to arrival","","","https://ands-inc.co.jp/","New agents 2020","Yes","Ryota","Kakui","ryota@ands-inc.co.jp","22% All Courses","","","Team, Partners","15/08/2023","","15/08/2023"
"","Angusti Study Abroad","Angusti Study Abroad","English","Rua Serra de Japi 1371","","0330-9001","Sao Paulo","SP","Brazil","+55 11 4304-1601","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Vinny (Vinicius)","Angusti","vinny@angusti.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Antra Tour","Antra Tour","English","Uspenskaya st. 101","",65045,"Odessa","","Ukraine","+38 (048) 710-07-08","Travel agent","","Net prior to arrival","","","http://study.antra-tour.com/","7. Inactive","Yes","Inna","Kudrynska","office.antratour@gmail.com","25% All Courses","","","Gill, Paul","19/09/2017","","10/05/2022"
"","Apex Study","Apex Taiwan","English","Apex International Education Centre","440-1050 Alberni St.","V6E 1A3","Vancouver","BC","Canada","+1 604 689 3382","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Irene","Wu","irene.wu@apexstudy.org","22% All Courses","","","Gill, Paul","29/06/2016","","10/05/2022"
"","APLUS","APLUS","English","","","","","","China","+86 13869895883","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Alison","Fu","alison.fu@aaplus.com.cn","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Aprende Ingles Fuera","Aprende Ingles Fuera","English","Fernando VI Nº2 Bajo B","28440 Guadarrama","","Madrid","","Spain","+34 91 279 32 60","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Alejandro","Sánchez","aprendeinglesfuera@gmail.com","17.5% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Aprende Inglés Viajando","Aprende Inglés Viajando","English","Calle Maria Benlliure 1 Esc 3 Pta 17","Albal",46470,"Valencia","","Spain",+34637605734,"Travel agent","€","Net prior to arrival","","","www.aprendeinglesviajando.com","New agents 2020","Yes","Ana Cristina","Romero","anaromero@aprendeinglesviajando.com","20% All Courses","","","Team, Accounts","15/09/2020","","10/05/2022"
"","Aprending Ingles","Aprending Ingles","English","Sout Lotts Road","","","Dublín","","Ireland","","","€","Net prior to arrival","","","aprendingingles.com","New agents 2020","Yes","","","","25% All Courses","","","Team, ULearn","31/01/2020","","10/05/2022"
"","Arena Intercambio","Arena","English","26 Eustace Street","Temple Bar","","Dublin 2","","","+353 872340936","Travel agent","€","Net prior to arrival","","","https://arenaintercambio.com.br","New agents 2020","Yes","Ionaria","Silva Santos","narasantos@arenaintercambio.com.br","20% All Courses","","","Team, Accounts","02/09/2020","","10/05/2022"
"","Asarya Consulting and Training","ACT Libya","English","Asarya Consulting And Training,","15 Alhejaz st.,","Benghazi,","","","Libya",+218925562788,"Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Husam","Mussa","albrassi78@yahoo.com","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","ASK ENGLISH GLOBAL","ASK","English","Marcelo T. de Alvear 446","","","Córdoba Capital","","Argentina","","Travel agent","€","Net prior to arrival","","","www.askenglishglobal.com","","Yes","","","","25% All Courses","","","Team, Partners","12/11/2025","Team, Partners","12/11/2025"
"","Atlas Edu","Atlas Edu","English","Inonu Cd. Hariciye Konagi Sk No.9","Ozan Han Gumussuyu Taksim Beyoglu","","Istanbul","","Turkey","+90 212 249 5310","Travel agent","€","Net prior to arrival","","","atlasedu.com","6. Inactive Propect","Yes","Gulfem","Guzel","gulfem@atlasedu.com","25% All Courses","","","Gill, Paul","12/03/2018","","10/05/2022"
"","Audiogil","Audiogil","English","Av Pérez Galdós, 7,","",12002,"Castelló de la Plana","Castelló","Spain","+34 964 34 22 90","Foreign School","","Net prior to arrival","","","","3. Gone Quiet","Yes","Anna","Biniek","anna.biniek@audiogil.es","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Ausa Education Agency","Ausa","English","Ausa Education Agency,","","","Cultural Central Palace of Mongolian Trade union","2nd floor 207a, Ulaanbaatar","Mongolia","+976 99049388","Travel agent","","Net prior to arrival","","","","","Yes","Gereltuya","Uyangatsetseg","ausa.education@gmail.com","25% All Courses","","","Team, ULearn","01/08/2018","","10/05/2022"
"","Aventura en Irlanda","Aventura en Irlanda","English","Adventure Fun SL","Av. America 40, 8ºI",28028,"Madrid","","Spain","+34 690 214 502","Travel agent","€","Net prior to arrival","","","","2. Active Engaged","Yes","Ernesto","Gomez-Luengo","aventuraenirlanda@yahoo.es","30.5%","","","Gill, Paul","20/07/2017","","10/05/2022"
"","Azur Education","Pedro","English","Concepcion 43","Alcala de Guadaira",41500,"Seville","","Spain","+34 618 391 836","Foreign School","€","Net prior to arrival","","","","2. Active Engaged","Yes","Pedro Jesus","Fernandez Ruiz","fdezruizpedro@gmail.com","","Groups","","Gill, Paul","16/11/2018","","23/10/2023"
"","BeLangue","BeLangue","English","22 Rue Herold","",06000,"Nice","","France","+336 63 54 63 92","Travel agent","€","Net prior to arrival","","","www.belangue.com","10. Prospect - Gold","Yes","Maurine","Bonnet-Rungi","maurine@belangue.com","30% All Courses","Partner Pay Terms - Course Only (EU), Partner Pay Terms - Course Only 2","ULearn Cancellation Policy 2018","Team, ULearn","02/07/2019","","04/01/2023"
"","Bery Group Bulgaria","Bery Group Bulgaria","English","74, Gen. Gurko Str.,","fl. 1",1000,"Sofia","","Bulgaria","+3592 9888 604","Marketing Association","","Net prior to arrival","","","www.edu-fair.info","3. Gone Quiet","Yes","Zornitsa","Andreeva","berygroup3@gmail.com","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Beyond Learning","Beyondlearning","English","Calle Gabriel 611,","Privadas del Angel, General Escobedo","","Nuevo Leon","","Mexico","+353 833561133","Travel agent","€","Net prior to arrival","","","https://beyondlearning.mx/","New agents 2020","Yes","Sergio","Aguirre","sergio.aguirre@beyondlearning.mx","22% All Courses","","","Team, Partners","28/02/2023","","28/02/2023"
"","BG Global Intercambio","BGlobal","English","","","","","","Brazil","+55 48 30252570","Travel agent","","Net prior to arrival","","","www.bglobalintercambio.com.br","7. Inactive","Yes","Alice","Keller","keller@bglobal.co.nz","25% All Courses","","","Team, Partners","21/10/2016","","10/05/2022"
"","Bilingua School","Bilingua School","English","Calle Alcala 48","",04738,"Almeria","","Spain","","Travel agent","","Net prior to arrival","","","bilingua@bilinguaschool.com","","Yes","","","","22% All Courses","Partner Pay Terms - Course Only (EU), Partner Pay Terms - Course Only 2","ULearn Cancellation Policy 2018","Team, ULearn","29/04/2019","","10/05/2022"
"","BiLingus","BiLingus","English","Camino Viejo de Madrid 17","",28230,"Madrid","Las Rozas","Spain","+34 91 297 99 02","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Pablo","Ortega","bilingus@bilingus.com","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Biotour Agencia","Biotour Agencia","English","Av Cristiano Machado, n.° 1837, 1103","","CEP 31140-535","Belo Horizonte","MG","Brazil","+31 3072-9637","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Cecília","Lima","cecilia@bioturagencia.com.br","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Bit languages","Bit","English","11 Wincombe Street","","M14 7PJ","Manchester","","United Kingdom","+44 7488 589131","Travel agent","","Net prior to arrival","","","www.bitlanguages.com","","Yes","Vanessa","Medeiros","info@bitlanguages.com","","","","Gill, Paul","23/10/2018","","10/05/2022"
"","Bizz Education Colombia","Bizz Education Colombia","English","","","","","","Colombia","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Vania","Soto","vania@bizzeducationaustralia.com.au","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Blive Student Agency limited","Blive","English","Unit B, Father Scully House","Gardiner Street Middle","","Dublin 1","","","+353 87 964 9564","Travel agent","€","Net prior to arrival","","","www.bliveagency.com","New agents 2020","Yes","Isadora","Zajac","isadora@bliveagency.com","25% All Courses","","","Team, Partners","20/03/2023","","20/03/2023"
"","Bloom","Bloom","English","","","","","","United Kingdom","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Boyd","Sleator","sleator.boyd@gmail.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","BLUE CONSULTORIA EM INTERCAMBIO E TURISMO LTDA ME","Blue Intercambio","English","Rua dos Ônix, 356 - Jardim Maria Izabel","Marília","17516-210","São Paulo","","Brazil","085 815 7045","Travel agent","€","Net prior to arrival","","","","5. Old VIP (Nurture)","Yes","Luiz","Fernando","application@blueintercambios.com.br","28% All Courses","","","Gill, Paul","13/08/2015","","22/05/2025"
"","BMV International Education","BMV","English","","","","","","Venezuela","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Vicky","Ramirez","lvickyrm@gmail.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Bookengs","Bookengs","English","","","","","","","","Travel agent","","Net prior to arrival","","","","","Yes","","","","25% All Courses","","ULearn Cancellation Policy 2018","Team, Partners","17/10/2018","","10/05/2022"
"","BookYourStudy.com","bookyourstudy","English","BookYourStudy.com","","Karla Marksa str. 25","Minsk, 220030,","","Belarus","","Travel agent","","Net prior to arrival","","","","","Yes","Diana","Sapotko","dsapotko@bookyourstudy.com","25% All Courses","","","Team, ULearn","11/12/2017","","10/05/2022"
"","BOOSTERS.MN","Boosters","English","Sukhbaatar District, Khoro 8","","","Ulanbaatar","","Mongolia","","","€","Net prior to arrival","","","","2. Active Engaged","Yes","Namkhaidorj","Ganbat","hello@boosters.mn","25% All Courses","","","Team, Partners","14/09/2025","","14/09/2025"
"","Brazil For All (BFA)","Brazil For All (BFA)","English","10 Newmarket,","Newmarket Square,","","Dublin 8,","","Ireland","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","BreakEdu","BreakEdu","English","","","","","","South Korea","","Travel agent","","Net prior to arrival","","","","7. Inactive","Yes","Jungil Justin","Jang","justin@breakedu.com","30% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Brendan MacHale / Chris Yang II","Brendan MacHale / Chris Yang II","English","4F BHS BLDG,","31  28Gil  Apkujung-Ro Kangnam-Ku,","","Seoul 135-892","","South Korea","02-3446-4253","Travel agent","€","Net prior to arrival","","","","2. Active Engaged","Yes","Brendan","MacHale","jbmachale@gmail.com","20% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Bridge Blue Global Mongolia","Bridge Blue","English","Union building 14230, 8th floor, B-801, UNESCO","","","Street, Sunroad 62, 1st Khoroo, Sukhbaatar district","","Mongolia","","Travel agent","","Net prior to arrival","","","","","Yes","Enkh-Od","Dashnyam","Enkhod@bridgeblueglobal.com","25% All Courses","","","Team, ULearn","14/11/2018","","10/05/2022"
"","Bridge ELS","Bridge ELS","English","Aian Bldg. 1-19-14 Kanayama-cho Atsuta-ku,","","456-0002","NAGOYA","","Japan","+81 52 671 7001","Foreign School","","Net prior to arrival","","","","3. Gone Quiet","Yes","Ayuko","Bridge","info@bridge-els.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Bridges Abroad","Bridges Abroad","English","Real santamaria, Lagunilla Heredia","","","","","Costa Rica",+50672700074,"Travel agent","€","Net prior to arrival","","","","","Yes","Juan Esteban","Esteban Blandon","bridgesabroadstudy@gmail.com","22.5% All Courses","","","Team, Partners","26/03/2025","","26/03/2025"
"","British Advice Centre BAC","British Advice Centre BAC","English","","","","","","Turkey","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","Kenan","Kaygisiz","kenankaygisiz@hotmail.com","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Bryan Wrenn MC Nursing UK","Bryan Wrenn","English","","","","","","Philippines","44 7894 200892","Individual","","Net prior to arrival","","","www.matchnursing.com","7. Inactive","Yes","Bryan","Wrenn","bw@matchnursing.com","22% All Courses","","","Team, Partners","12/05/2016","","10/05/2022"
"","Bunguo","Bunguo","English","Bunguo, Altintepe Mah. Istasyon Yolu Sok. No:3/1",13034840,"","Maltepe Istanbul","","Turkey","","Travel agent","€","Net prior to arrival","","","","2. Active Engaged","Yes","Burcu","Dedeoglu","info@bunguo.com","25% All Courses","","","Team, ULearn","22/01/2018","","10/05/2022"
"","Campo Base","Campo Base","English","Via Campiglio 126,","38025 Dimaro,","","Tn,","","Italy","39 0463 970046","Travel agent","","Net prior to arrival","","","campobase.travel","7. Inactive","Yes","Cecilia","Iachelini","cecilia@campobase.travel","","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Capacitate - En Irlanda","Capacitate YA!","English","","","","","","Mexico","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","CASIL Work Study","CASIL Work Study","English","Rua Siqueira Campos, 940,","sala 205,","","Porto Alegre - RS - Brasil","CEP 90010-000","Brazil","","Travel agent","€","Net prior to arrival","","","","3. Gone Quiet","Yes","Stephanie","Minuzzi Cortes","operacional@casilintercambios.com.br","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","CEI Dublin","CEI","English","12 Redmond's Hill","","","Dublin","","Ireland","+353 (0)1 476 7967","Travel agent","","Net prior to arrival","","","http://www.cei-work-travel-study.com/fr","","Yes","Joanne","Pirot","joanne.pirot@cei-frenchcentre.com","25% All Courses","","","Team, Partners","26/07/2017","","10/05/2022"
"","Celtic Internships","Celtic Internships","English","Plunkett Chambers Business Centre, Office No. 13","","21/23 Oliver Plunkett Street,","Cork","","Ireland","","Travel agent","","Net prior to arrival","","","","","Yes","Virginie","Robinson","virginie@celticinternships.ie","25% All Courses","","","Team, ULearn","29/03/2018","","10/05/2022"
"","Center For Career And Education EUROPA","Center For Career And Education EUROPA","English","Office 506,","1 Gagarin ave,","","Kharkiv,","","Ukraine","","Travel agent","","Net prior to arrival","","","http://europacenter.com.ua","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","CESE Intercambio Cristao","CESE Intercambio Cristao","English","Av. Sete De Setembro,","4214,","","Curitiba, Parana, Brasil","","Brazil","+55 41 3319 2373","Travel agent","€","Net prior to arrival","","","https://intercambiocristao.com.br/","","Yes","Karoline","Sabn","karo@intercambiocristao.com.br","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","CEVEX","CEVEX","English","Av. Nuestra Señora de Fatima 98,","local A",28047,"Madrid","","Spain","(0034) 91 549 75 66","Travel agent","","Net prior to arrival","","","http://www.cevex.es","3. Gone Quiet","Yes","Pilar","Valero","pilarvalero@cevex.es","25% All Courses","","","Gill, Paul","31/10/2017","","10/05/2022"
"","Choice Ireland UHAK","Choice Ireland UHAK","English","","","","","","South Korea","","Travel agent","","Net prior to arrival","","","http://www.choiceirelanduhak.com/","3. Gone Quiet","Yes","Chris","Byrne","choiceirelanduhak@gmail.com","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Chongro Yuhak","Chongro Yuhak","English","","","","","","South Korea","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Chronos Agency","Chronos Agency","English","","","","","","Venezuela","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","CI Intercambio e Viagem","CI","English","Office 307, Ormond Building","31 - 36 Ormond Quay Upper","","Dublin","","Brazil","01 874 7095","Travel agent","€","Net prior to arrival","","","https://www.ci.com.br/","3. Gone Quiet","Yes","Patrcia","Enzweiler","patriciae@ci.com.br","","","","Gill, Paul","23/03/2017","","10/05/2022"
"","CIB Canaries SL","CIB Canaries SL","English","Lope de Vega,","No. 30,","38005,","Santa Cruz de Tenerife,","Canary Islands","Spain",34922228383,"Travel agent","","Net prior to arrival","","","www.cib.es","7. Inactive","Yes","Mariel","Mederos","cib@cib.es","22% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","City Service Agency","City Service Agency","English","City Service Agency Ltd. 210-515,","W Pender St.","V6B 6H5","Vancouver,","BC,","Saudi Arabia","","Travel agent","","Net prior to arrival","","","","3. Gone Quiet","Yes","","","","23% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","CLASS SPAIN","Class Spain","English","Pintor Aparicio, 40 03003","","","Alicante","","Spain","+34 965132233","Travel agent","","Net prior to arrival","","","","","Yes","Amparo","Terol","amparoterol@class-spain.es","25% All Courses","","","Team, ULearn","05/11/2018","","10/05/2022"
"","CoAcad","CoAcad","English","Calle Gobernador Viejo 29","",46003,"Valencia","","Spain","","Travel agent","","Net prior to arrival","","","www.coacad.com","3. Gone Quiet","Yes","Neeraj","Manuja","manuja@coacad.com","30% All Courses","","","Gill, Paul","02/11/2017","","10/05/2022"
"","Colegio Vitoria","Moacir Junior","English","","","","","","","","Foreign School","€","Net prior to arrival","","","","2. Active Engaged","Yes","","","","","","","Team, Accounts","13/05/2025","","13/05/2025"
"","Come2Study","Come2Study","English","26 Eustace Street","","","Ireland","","Brazil","00353 871141372","Travel agent","€","Net prior to arrival","","","","3. Gone Quiet","Yes","Jaqueline","Ercolani","jaqueline.intercambios@gmail.com","25% All Courses","","","Gill, Paul","17/06/2016","","10/05/2022"
"","Communicaclear","communicaclear","English","Calle Bustamante 18 B1","",28045,"Madrid","","Spain",+34699550262,"Travel agent","€","Net prior to arrival","","","https://www.communicaclear.com/","New agents 2020","Yes","Philip","Huddleson","philiph@communicaclear.com","20% All Courses","","","Team, Accounts","25/09/2020","","10/05/2022"
